Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,10/27/2025 17:34,FALSE,Strength,0,175,0:34,113,149,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,036",518,35,-6,No,0:34:00,1,--,--,--,--,--,--,--,--,0:26:53,0:34:04,--,--
Running,10/26/2025 8:58,FALSE,South Miami Running,7.25,424,0:45,160,174,183,195,6:04,3:21,14,8,0.89,8.6,7.6,244,212,0,213,312,"8,018",--,--,-13,No,01:18.1,8,--,--,--,--,--,--,--,--,0:43:40,0:44:23,6,14
HIIT,10/25/2025 12:11,FALSE,HIIT,0,163,0:30,120,152,--,--,--,--,--,--,--,--,--,--,--,0,--,--,498,249,25,-5,No,0:29:02,1,--,--,--,--,--,--,--,--,0:26:21,0:29:02,--,--
Strength Training,10/23/2025 6:30,FALSE,Strength,0,124,0:31,105,139,--,--,--,--,--,--,--,--,--,--,--,0,--,--,972,486,27,-5,No,0:30:05,1,--,--,--,--,--,--,--,--,0:26:33,0:30:05,--,--
Strength Training,10/22/2025 15:44,FALSE,Strength,0,222,1:11,94,133,--,--,--,--,--,--,--,--,--,--,--,0,--,--,520,255,12,-5,No,1:10:49,1,--,--,--,--,--,--,--,--,1:00:55,1:10:49,--,--
Strength Training,10/21/2025 7:18,FALSE,Strength,0,141,0:42,97,116,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,330",665,44,-7,No,0:41:52,1,--,--,--,--,--,--,--,--,0:34:02,0:41:52,--,--
HIIT,10/20/2025 17:00,FALSE,HIIT,0,271,0:46,122,157,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,186",593,42,-7,No,0:45:31,1,--,--,--,--,--,--,--,--,0:35:05,0:45:31,--,--
Running,10/19/2025 9:40,FALSE,South Miami Running,6.06,359,0:39,158,169,179,188,6:19,5:22,2,--,0.88,8.9,7.8,250,200,0,200,248,"6,858",--,--,-13,No,00:24.7,7,--,--,--,--,--,--,--,--,0:38:10,0:38:23,11,17
HIIT,10/18/2025 18:06,FALSE,HIIT,0,380,1:06,119,162,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,234",617,24,-10,No,1:05:30,1,--,--,--,--,--,--,--,--,0:47:12,1:05:36,--,--
HIIT,10/17/2025 15:34,FALSE,HIIT,0,149,0:40,99,141,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,104",552,38,-4,No,0:39:24,1,--,--,--,--,--,--,--,--,0:30:32,0:39:24,--,--
Strength Training,10/16/2025 18:38,FALSE,Strength,0,290,0:45,129,162,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,218",609,36,-7,No,0:44:57,1,--,--,--,--,--,--,--,--,0:36:46,0:45:22,--,--
Strength Training,10/15/2025 15:50,FALSE,Strength,0,149,0:43,97,122,--,--,--,--,--,--,--,--,--,--,--,0,--,--,918,459,43,-5,No,0:42:56,1,--,--,--,--,--,--,--,--,0:32:56,0:42:56,--,--
Strength Training,10/14/2025 18:53,FALSE,Strength,0,146,0:29,111,151,--,--,--,--,--,--,--,--,--,--,--,0,--,--,842,421,29,-4,No,0:28:03,1,--,--,--,--,--,--,--,--,0:23:36,0:28:03,--,--
Running,10/12/2025 10:05,FALSE,Coral Gables Running,4.86,276,0:29,157,171,176,188,5:51,4:58,2,--,0.96,8.4,8,242,216,0,219,279,"5,096",--,--,-11,No,04:54.4,5,--,--,--,--,--,--,--,--,0:27:59,0:40:49,10,14
Running,10/12/2025 9:43,FALSE,South Miami Running,2.42,137,0:15,148,165,180,190,6:06,5:13,5,2,0.9,8.7,7.8,246,207,0,206,246,"2,654",--,--,-6,No,02:16.5,3,--,--,--,--,--,--,--,--,0:14:41,0:14:45,6,12
HIIT,10/11/2025 18:25,FALSE,HIIT,0,179,0:41,108,135,--,--,--,--,--,--,--,--,--,--,--,0,--,--,928,464,29,-4,No,0:40:40,1,--,--,--,--,--,--,--,--,0:36:29,0:40:40,--,--
Strength Training,10/10/2025 9:33,FALSE,Strength,0,140,0:38,100,132,--,--,--,--,--,--,--,--,--,--,--,0,--,--,660,330,28,-5,No,0:37:48,1,--,--,--,--,--,--,--,--,0:29:00,0:38:09,--,--
HIIT,10/9/2025 16:15,FALSE,HIIT,0,165,0:45,100,129,--,--,--,--,--,--,--,--,--,--,--,0,--,--,704,352,27,-5,No,0:44:14,1,--,--,--,--,--,--,--,--,0:34:46,0:44:14,--,--
Strength Training,10/7/2025 17:07,FALSE,Strength,0,203,0:49,105,146,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,724",862,48,-4,No,0:48:11,1,--,--,--,--,--,--,--,--,0:37:06,0:48:22,--,--
HIIT,10/6/2025 15:49,FALSE,HIIT,0,188,0:46,105,153,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,084",542,35,-4,No,0:45:36,1,--,--,--,--,--,--,--,--,0:38:42,0:45:36,--,--
Running,10/5/2025 9:42,FALSE,South Miami Running,5.65,339,0:36,160,178,178,186,6:21,5:29,6,2,0.88,9,7.9,252,200,0,200,237,"6,408",--,--,-13,No,03:59.5,6,--,--,--,--,--,--,--,--,0:35:49,0:35:52,7,15
HIIT,10/4/2025 8:24,FALSE,HIIT,0,331,1:00,118,161,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,718",859,62,-11,No,0:59:46,1,--,--,--,--,--,--,--,--,0:50:16,0:59:46,--,--
HIIT,10/3/2025 19:19,FALSE,HIIT,0,201,0:44,109,140,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,594",797,41,-3,No,0:43:21,1,--,--,--,--,--,--,--,--,0:33:31,0:43:21,--,--
HIIT,10/2/2025 15:41,FALSE,HIIT,0,190,0:45,105,148,--,--,--,--,--,--,--,--,--,--,--,0,--,--,980,490,25,-4,No,0:44:18,1,--,--,--,--,--,--,--,--,0:33:10,0:44:18,--,--
HIIT,9/30/2025 17:15,FALSE,HIIT,0,132,0:38,96,135,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,244",622,38,-2,No,0:37:39,1,--,--,--,--,--,--,--,--,0:29:55,0:37:39,--,--
HIIT,9/29/2025 17:41,FALSE,HIIT,0,284,0:54,121,152,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,076",538,35,-6,No,0:53:09,1,--,--,--,--,--,--,--,--,0:44:30,0:53:09,--,--
Yoga,9/28/2025 8:49,FALSE,Yoga,--,68,0:40,73,105,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,-3,No,0:39:47,1,16,9,23,-67,90,23,48,96,0:39:47,0:39:47,--,--
HIIT,9/27/2025 16:04,FALSE,HIIT,0,47,0:11,105,159,--,--,--,--,--,--,--,--,--,--,--,0,--,--,216,108,6,-1,No,0:10:02,1,--,--,--,--,--,--,--,--,04:36.4,0:10:02,--,--
Indoor Cycling,9/27/2025 15:29,FALSE,Indoor Cycling,0,184,0:35,115,137,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,-7,No,00:01.2,2,--,--,--,--,--,--,--,--,0:00:00,0:34:25,--,--
HIIT,9/26/2025 9:01,FALSE,HIIT,0,236,0:40,123,153,--,--,--,--,--,--,--,--,--,--,--,0,--,--,968,484,18,-4,No,0:39:31,1,--,--,--,--,--,--,--,--,0:34:28,0:39:31,--,--
HIIT,9/25/2025 16:54,FALSE,HIIT,0,108,0:33,94,118,--,--,--,--,--,--,--,--,--,--,--,0,--,--,852,426,36,-1,No,0:32:14,1,--,--,--,--,--,--,--,--,0:23:15,0:32:14,--,--
HIIT,9/23/2025 18:09,FALSE,HIIT,0,135,0:56,83,122,--,--,--,--,--,--,--,--,--,--,--,0,--,--,322,161,11,-2,No,0:56:00,1,--,--,--,--,--,--,--,--,0:52:21,0:56:00,--,--
HIIT,9/22/2025 16:13,FALSE,HIIT,0,106,0:37,89,119,--,--,--,--,--,--,--,--,--,--,--,0,--,--,674,337,13,-3,No,0:36:39,1,--,--,--,--,--,--,--,--,0:28:48,0:36:51,--,--
Pilates,9/21/2025 10:53,FALSE,Pilates,0,114,0:43,86,107,8,155,--,--,--,--,0,--,--,--,--,0,--,--,296,148,14,-3,No,0:42:39,1,--,--,--,--,--,--,--,--,0:42:39,0:42:39,--,--
HIIT,9/19/2025 18:46,FALSE,HIIT,0,84,0:35,83,123,--,--,--,--,--,--,--,--,--,--,--,0,--,--,960,480,21,-5,No,0:34:03,1,--,--,--,--,--,--,--,--,0:29:01,0:34:03,--,--
HIIT,9/18/2025 16:16,FALSE,HIIT,0,148,0:41,99,149,--,--,--,--,--,--,--,--,--,--,--,0,--,--,626,313,10,-3,No,0:40:03,1,--,--,--,--,--,--,--,--,0:31:36,0:40:03,--,--
Pilates,9/17/2025 17:46,FALSE,Pilates,0,25,0:13,76,94,1,107,--,--,--,--,0,--,--,--,--,0,--,--,22,11,2,-1,No,0:12:47,1,--,--,--,--,--,--,--,--,0:12:47,0:13:23,--,--
HIIT,9/16/2025 16:34,FALSE,HIIT,0,109,0:34,91,158,--,--,--,--,--,--,--,--,--,--,--,0,--,--,900,450,9,-4,No,0:33:07,1,--,--,--,--,--,--,--,--,0:27:15,0:33:11,--,--
HIIT,9/15/2025 17:40,FALSE,HIIT,0,201,0:35,118,158,--,--,--,--,--,--,--,--,--,--,--,0,--,--,554,277,23,-5,No,0:34:18,1,--,--,--,--,--,--,--,--,0:26:54,0:34:18,--,--
Yoga,9/14/2025 8:35,FALSE,Yoga,--,220,0:58,105,135,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,2,-6,No,0:57:02,1,15,9,24,-12,99,87,98,100,0:57:02,0:57:02,--,--
Running,9/14/2025 7:57,FALSE,South Miami Running,5.41,320,0:33,159,172,180,191,6:00,5:08,--,--,0.92,8.6,7.9,245,210,0,210,255,"5,880",--,--,-11,No,02:17.9,6,--,--,--,--,--,--,--,--,0:32:20,0:32:30,3,5
HIIT,9/13/2025 18:03,FALSE,HIIT,0,190,0:36,115,149,--,--,--,--,--,--,--,--,--,--,--,0,--,--,462,231,24,-7,No,0:35:01,1,--,--,--,--,--,--,--,--,0:29:50,0:35:01,--,--
HIIT,9/12/2025 15:47,FALSE,HIIT,0,149,0:44,95,129,--,--,--,--,--,--,--,--,--,--,--,0,--,--,960,480,44,-4,No,0:43:15,1,--,--,--,--,--,--,--,--,0:32:48,0:43:18,--,--
HIIT,9/11/2025 17:21,FALSE,HIIT,0,257,0:56,110,150,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,462",731,41,-6,No,0:55:25,1,--,--,--,--,--,--,--,--,0:39:48,0:55:25,--,--
HIIT,9/9/2025 18:20,FALSE,HIIT,0,193,0:47,106,159,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,326",663,44,-4,No,0:46:19,1,--,--,--,--,--,--,--,--,0:33:55,0:46:19,--,--
HIIT,9/8/2025 17:04,FALSE,HIIT,0,322,0:45,131,169,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,090",545,37,-8,No,0:44:57,1,--,--,--,--,--,--,--,--,0:32:05,0:44:57,--,--
Running,9/7/2025 9:42,FALSE,Coral Gables Running,5.1,294,0:31,159,179,179,189,6:05,4:35,--,2,0.91,8.8,8,248,212,0,211,297,"5,532",--,--,-8,No,00:31.7,6,--,--,--,--,--,--,--,--,0:30:58,0:31:04,1,4
Yoga,9/7/2025 8:48,FALSE,Yoga,--,105,0:42,88,123,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,-7,No,0:41:27,1,17,12,26,-47,80,33,74,99,0:41:27,0:41:27,--,--
HIIT,9/5/2025 15:29,FALSE,HIIT,0,180,0:53,99,133,--,--,--,--,--,--,--,--,--,--,--,0,--,--,698,349,21,-7,No,0:52:44,1,--,--,--,--,--,--,--,--,0:28:28,0:52:44,--,--
HIIT,9/4/2025 16:38,FALSE,HIIT,0,62,0:10,121,141,--,--,--,--,--,--,--,--,--,--,--,0,--,--,358,179,7,-2,No,09:47.4,1,--,--,--,--,--,--,--,--,08:43.4,09:47.4,--,--
HIIT,9/4/2025 16:04,FALSE,HIIT,0,113,0:34,96,137,--,--,--,--,--,--,--,--,--,--,--,0,--,--,504,252,21,-2,No,0:33:29,1,--,--,--,--,--,--,--,--,0:22:13,0:33:29,--,--
HIIT,9/3/2025 17:07,FALSE,HIIT,0,124,0:39,94,146,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,056",528,21,-4,No,0:38:18,1,--,--,--,--,--,--,--,--,0:27:33,0:38:18,--,--
HIIT,9/2/2025 18:20,FALSE,HIIT,0,260,0:42,126,157,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,274",637,34,-7,No,0:41:28,1,--,--,--,--,--,--,--,--,0:33:42,0:41:38,--,--
HIIT,9/1/2025 20:45,FALSE,HIIT,0,156,0:31,115,152,--,--,--,--,--,--,--,--,--,--,--,0,--,--,778,389,31,-4,No,0:30:18,1,--,--,--,--,--,--,--,--,0:25:46,0:30:43,--,--
HIIT,8/30/2025 15:43,FALSE,HIIT,0,308,0:53,127,169,--,--,--,--,--,--,--,--,--,--,--,0,--,--,660,330,31,-3,No,0:52:36,1,--,--,--,--,--,--,--,--,0:47:35,0:52:39,--,--
HIIT,8/29/2025 8:11,FALSE,HIIT,0,34,0:07,108,134,--,--,--,--,--,--,--,--,--,--,--,0,--,--,194,97,8,-1,No,06:55.9,1,--,--,--,--,--,--,--,--,05:58.5,06:55.9,--,--
HIIT,8/29/2025 7:37,FALSE,HIIT,0,143,0:32,110,134,--,--,--,--,--,--,--,--,--,--,--,0,--,--,848,424,28,-2,No,0:31:44,1,--,--,--,--,--,--,--,--,0:23:56,0:31:44,--,--
Hiking,8/28/2025 10:52,FALSE,Guasca Hiking,5.79,473,2:31,98,133,52,240,25:58:00,10:02,240,246,0.78,--,--,--,--,0,--,--,"9,642",--,--,-7,No,00:10.1,4,--,--,--,--,--,--,--,--,1:32:08,2:41:38,"3,433","3,642"
HIIT,8/26/2025 11:10,FALSE,HIIT,0,327,1:01,123,158,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,360",680,57,-9,No,1:00:40,1,--,--,--,--,--,--,--,--,0:52:25,1:01:31,--,--
HIIT,8/25/2025 9:14,FALSE,HIIT,0,251,0:42,126,162,--,--,--,--,--,--,--,--,--,--,--,0,--,--,624,312,29,-8,No,0:41:14,1,--,--,--,--,--,--,--,--,0:22:24,0:41:19,--,--
Pilates,8/24/2025 7:12,FALSE,Pilates,0,37,0:15,85,102,3,150,--,--,--,--,0,--,--,--,--,0,--,--,10,5,1,-1,No,0:14:00,1,--,--,--,--,--,--,--,--,0:14:00,0:14:00,--,--
HIIT,8/22/2025 7:43,FALSE,HIIT,0,169,0:47,102,122,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,116",558,42,-5,No,0:46:41,1,--,--,--,--,--,--,--,--,0:35:58,0:46:41,--,--
HIIT,8/21/2025 10:59,FALSE,HIIT,0,192,0:49,105,151,--,--,--,--,--,--,--,--,--,--,--,0,--,--,834,417,32,-3,No,0:48:14,1,--,--,--,--,--,--,--,--,0:36:04,0:48:49,--,--
Pilates,8/20/2025 20:07,FALSE,Pilates,0,103,0:42,85,117,1,130,--,--,--,--,0,--,--,--,--,0,--,--,10,5,1,-1,No,0:41:21,1,--,--,--,--,--,--,--,--,0:41:21,0:41:21,--,--
Hiking,8/20/2025 10:29,FALSE,Ubaque Hiking,2.4,160,0:47,99,138,76,205,19:32,11:32,40,64,0.68,--,--,--,--,0,--,--,"3,966",--,--,-2,No,0:46:56,1,--,--,--,--,--,--,--,--,0:36:35,0:46:56,"3,354","3,408"
HIIT,8/19/2025 9:33,FALSE,HIIT,0,260,0:46,124,179,--,--,--,--,--,--,--,--,--,--,--,0,--,--,798,399,33,-9,No,0:45:29,1,--,--,--,--,--,--,--,--,0:32:54,0:46:10,--,--
HIIT,8/18/2025 8:55,FALSE,HIIT,0,264,1:12,104,153,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,470",735,42,-5,No,1:11:20,1,--,--,--,--,--,--,--,--,0:42:12,1:11:30,--,--
Hiking,8/17/2025 9:54,FALSE,"Bogota, D.C. Hiking",3.28,435,1:06,137,165,44,158,19:59,5:33,541,4,1.14,--,--,--,--,0,--,--,"4,574",--,--,-14,No,1:05:33,1,--,--,--,--,--,--,--,--,0:33:40,1:05:33,"2,653","3,192"
HIIT,8/15/2025 11:34,FALSE,HIIT,0,250,0:42,123,160,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,052",526,33,-6,No,0:41:51,1,--,--,--,--,--,--,--,--,0:33:01,0:41:51,--,--
Pilates,8/14/2025 8:12,FALSE,Pilates,0,93,0:37,86,114,1,154,--,--,--,--,0,--,--,--,--,0,--,--,12,6,1,-4,No,0:36:12,1,--,--,--,--,--,--,--,--,0:36:12,0:36:12,--,--
HIIT,8/13/2025 11:51,FALSE,HIIT,0,218,0:48,111,161,--,--,--,--,--,--,--,--,--,--,--,0,--,--,770,385,32,-5,No,0:47:13,1,--,--,--,--,--,--,--,--,0:30:04,0:47:21,--,--
HIIT,8/12/2025 6:13,FALSE,HIIT,0,193,0:45,109,128,--,--,--,--,--,--,--,--,--,--,--,0,--,--,970,485,49,-7,No,0:44:32,1,--,--,--,--,--,--,--,--,0:34:45,0:44:32,--,--
HIIT,8/11/2025 10:23,FALSE,HIIT,0,155,0:41,102,130,--,--,--,--,--,--,--,--,--,--,--,0,--,--,660,330,27,-3,No,0:40:59,1,--,--,--,--,--,--,--,--,0:28:24,0:40:59,--,--
Running,8/10/2025 10:40,FALSE,"Bogota, D.C. Running",7.13,410,0:45,154,165,177,190,6:13,4:54,17,7,0.89,8.8,7.9,249,204,0,206,272,"7,908",--,--,-13,No,00:47.0,8,--,--,--,--,--,--,--,--,0:44:00,0:45:58,"2,562","2,574"
HIIT,8/9/2025 11:09,FALSE,HIIT,0,171,0:41,106,148,--,--,--,--,--,--,--,--,--,--,--,0,--,--,590,295,31,-3,No,0:40:12,1,--,--,--,--,--,--,--,--,0:27:37,0:40:12,--,--
HIIT,8/9/2025 11:07,FALSE,HIIT,0,2,0:01,76,81,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,--,No,00:49.5,1,--,--,--,--,--,--,--,--,00:49.5,00:49.5,--,--
HIIT,8/8/2025 11:08,FALSE,HIIT,0,235,0:36,129,159,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,008",504,47,-5,No,0:35:49,1,--,--,--,--,--,--,--,--,0:28:10,0:35:49,--,--
HIIT,8/7/2025 11:43,FALSE,HIIT - Custom,0,371,0:50,139,172,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,064",532,55,-10,No,0:49:14,1,--,--,--,--,--,--,--,--,0:41:31,0:49:20,--,--
HIIT,8/6/2025 13:04,FALSE,HIIT,0,243,0:41,125,161,--,--,--,--,--,--,--,--,--,--,--,0,--,--,600,300,29,-5,No,0:40:14,1,--,--,--,--,--,--,--,--,0:26:53,0:40:14,--,--
HIIT,8/4/2025 13:50,FALSE,HIIT,0,248,0:41,127,189,--,--,--,--,--,--,--,--,--,--,--,0,--,--,752,376,35,-5,No,0:40:17,1,--,--,--,--,--,--,--,--,0:25:21,0:40:17,--,--
HIIT,8/3/2025 14:35,FALSE,HIIT - Custom,0,62,0:12,115,133,--,--,--,--,--,--,--,--,--,--,--,0,--,--,166,83,9,-1,No,0:11:08,1,--,--,--,--,--,--,--,--,0:09:00,0:11:08,--,--
HIIT,8/3/2025 14:10,FALSE,HIIT - Custom,0,111,0:25,106,146,--,--,--,--,--,--,--,--,--,--,--,0,--,--,408,204,21,-3,No,0:24:21,1,--,--,--,--,--,--,--,--,0:16:44,0:24:21,--,--
HIIT,8/3/2025 14:05,FALSE,HIIT,0,22,0:05,107,123,--,--,--,--,--,--,--,--,--,--,--,0,--,--,170,85,5,-1,No,04:34.5,1,--,--,--,--,--,--,--,--,04:14.4,04:34.5,--,--
Pilates,8/1/2025 16:17,FALSE,Pilates,0,43,0:15,90,109,0,140,--,--,--,--,0,--,--,--,--,0,--,--,10,5,1,-6,No,0:14:07,1,--,--,--,--,--,--,--,--,0:14:07,0:14:07,--,--
HIIT,7/31/2025 8:15,FALSE,HIIT,0,265,0:51,119,173,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,158",579,30,-7,No,0:50:17,1,--,--,--,--,--,--,--,--,0:33:19,0:50:17,--,--
HIIT,7/29/2025 8:11,FALSE,HIIT,0,206,0:48,105,149,--,--,--,--,--,--,--,--,--,--,--,0,--,--,764,382,41,-6,No,0:47:02,1,--,--,--,--,--,--,--,--,0:32:03,0:47:02,--,--
HIIT,7/28/2025 10:07,FALSE,HIIT,0,428,1:13,124,173,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,300",650,46,-12,No,1:12:01,1,--,--,--,--,--,--,--,--,0:53:45,1:12:04,--,--
HIIT,7/26/2025 10:59,FALSE,HIIT - Custom,0,61,0:09,133,155,--,--,--,--,--,--,--,--,--,--,--,0,--,--,256,128,8,-3,No,08:01.2,1,--,--,--,--,--,--,--,--,0:06:40,08:01.2,--,--
HIIT,7/26/2025 10:31,FALSE,HIIT - Custom,0,162,0:28,120,138,--,--,--,--,--,--,--,--,--,--,--,0,--,--,430,215,24,-3,No,0:27:51,1,--,--,--,--,--,--,--,--,0:24:00,0:27:51,--,--
HIIT,7/25/2025 8:08,FALSE,HIIT,0,212,0:50,106,156,--,--,--,--,--,--,--,--,--,--,--,0,--,--,804,402,36,-6,No,0:49:12,1,--,--,--,--,--,--,--,--,0:32:07,0:49:12,--,--
HIIT,7/24/2025 18:54,FALSE,HIIT,0,325,1:20,107,157,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,164",582,33,-5,No,1:19:50,1,--,--,--,--,--,--,--,--,0:53:36,1:20:06,--,--
HIIT,7/23/2025 14:08,FALSE,HIIT,0,162,0:46,99,134,--,--,--,--,--,--,--,--,--,--,--,0,--,--,862,431,31,-5,No,0:45:07,1,--,--,--,--,--,--,--,--,0:24:42,0:45:07,--,--
HIIT,7/22/2025 8:08,FALSE,HIIT,0,289,0:55,117,155,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,218",609,36,-12,No,0:54:06,1,--,--,--,--,--,--,--,--,0:33:41,0:54:08,--,--
Yoga,7/21/2025 7:15,FALSE,Yoga,--,29,0:12,85,102,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,-2,No,0:11:58,1,16,10,23,34,41,75,74,95,0:11:58,0:11:58,--,--
Running,7/20/2025 7:53,FALSE,"Bogota, D.C. Running",7.22,410,0:43,158,167,183,194,5:57,4:59,12,9,0.91,8.6,7.8,243,213,0,212,285,"7,828",--,--,-15,No,01:20.4,8,--,--,--,--,--,--,--,--,0:42:56,0:42:57,"2,562","2,570"
Yoga,7/19/2025 9:19,FALSE,Yoga,--,48,0:19,88,119,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,-4,No,0:18:38,1,16,10,21,32,39,71,84,99,0:18:38,0:18:38,--,--
Pilates,7/17/2025 10:06,FALSE,Pilates,0,75,0:28,87,113,--,--,--,--,--,--,--,--,--,--,--,0,--,--,106,53,3,-3,No,0:27:21,1,--,--,--,--,--,--,--,--,0:27:21,0:27:21,--,--
HIIT,7/17/2025 9:34,FALSE,HIIT - Custom,0,167,0:31,119,144,--,--,--,--,--,--,--,--,--,--,--,0,--,--,490,245,16,-6,No,0:30:34,1,--,--,--,--,--,--,--,--,0:23:27,0:31:08,--,--
HIIT,7/16/2025 7:20,FALSE,HIIT - Custom,0,16,0:04,110,127,--,--,--,--,--,--,--,--,--,--,--,0,--,--,6,3,2,-1,No,03:05.8,1,--,--,--,--,--,--,--,--,0:01:00,03:05.8,--,--
HIIT,7/16/2025 6:55,FALSE,HIIT - Custom,0,112,0:25,107,134,--,--,--,--,--,--,--,--,--,--,--,0,--,--,348,174,23,-4,No,0:24:36,1,--,--,--,--,--,--,--,--,0:17:00,0:24:36,--,--
HIIT,7/15/2025 15:56,FALSE,HIIT - Custom,0,36,0:09,103,138,--,--,--,--,--,--,--,--,--,--,--,0,--,--,76,38,4,-1,No,08:15.1,1,--,--,--,--,--,--,--,--,0:02:00,08:15.1,--,--
HIIT,7/15/2025 15:23,FALSE,HIIT - Custom,0,105,0:31,97,121,--,--,--,--,--,--,--,--,--,--,--,0,--,--,680,340,31,-3,No,0:30:05,1,--,--,--,--,--,--,--,--,0:25:05,0:31:14,--,--
